#Filename       start    end       CORR  B     Seq   Keep?  PUMP  Astart  Aend   Bstart Bend   ChUpdate   Gas    B_Servo   HV    HVS   OTop  MTop  MBot  OBot   Others
32180-32477     32180    32477     2    -1     6     1      35    50      70     230    260    1          80     1         06    05    6     12    15    14
32478-32510     32478    32510     4    -1     6     1      30    50      70     230    260    1          80     1         06    05    6     12    15    14
32513-32772     32513    32772     2    -1     6     1      35    50      70     230    260    1          80     1         10    05    6     12    15    14
32773-32805     32773    32805     4    -1     6     1      35    50      70     230    260    1          80     1         10    05    6     12    15    14
32812-33058     32812    33058     2    -1     6     1      35    50      70     240    270    1          80     1         06    30    6     12    15    14
33062-33094     33062    33094     4    -1     6     1      35    50      70     240    270    1          80     1         06    30    6     12    15    14
33105-33344     33105    33344     2    -1     6     1      35    50      70     240    270    1          80     1         10    30    6     12    15    14
33345-33379     33345    33379     4    -1     6     1      35    50      70     240    270    1          80     1         10    30    6     12    15    14
33385-33657     33385    33657     2     1     6     1      35    50      70     240    270    1          80     1         06    05    6     12    15    14
33658-33690     33658    33690     4     1     6     1      35    50      70     240    270    1          80     1         06    05    6     12    15    14
33698-33957     33698    33957     2     1     6     1      35    50      70     240    270    1          80     1         10    05    6     12    15    14
33958-33990     33958    33990     4     1     6     1      35    50      70     240    270    1          80     1         10    05    6     12    15    14
33995-34027     33995    34027     4     1     6     1      35    50      70     240    270    1          80     1         06    05    6     12    15    14
34028-34277     34028    34277     2     1     6     1      35    50      70     240    270    1          55     1         06    30    6     12    15    14
34283-34605     34283    34605     2     1     6     1      35    50      70     240    270    1          55     1         10    30    6     12    15    14
34606-34638     34606    34638     4     1     6     1      35    50      70     240    270    1          55     1         10    30    6     12    15    14
34643-34889     34643    34889     2     1     6     1      35    50      70     240    270    1          55     1         06    30    6     12    15    14
34890-34922     34890    34922     4     1     6     1      35    50      70     240    270    1          55     1         06    30    6     12    15    14
34926-35200     34926    35200     2    -1     6     1      35    50      70     240    270    1          70     1         06    05    6     12    15    14
